ticker,company,sector,location,founded_year,date_added
COP,ConocoPhillips,Energy,Texas,2002,1957-03-04
ED,Consolidated Edison,Utilities,New York,1823,1957-03-04
STZ,Constellation Brands,Consumer Staples,New York,1945,2005-07-01
CEG,Constellation Energy,Utilities,Maryland,1999,2022-02-02
COO,Cooper Companies (The),Health Care,California,1958,2016-09-23
CPRT,Copart,Industrials,Texas,1982,2018-07-02
GLW,Corning Inc.,Information Technology,New York,1851,1995-02-27
CPAY,Corpay,Financials,Georgia,2000,2018-06-20
CTVA,Corteva,Materials,Indiana,2019,2019-06-03
CSGP,CoStar Group,Real Estate,D.C.,1987,2022-09-19
COST,Costco,Consumer Staples,Washington,1976,1993-10-01
CTRA,Coterra,Energy,Texas,2021,2008-06-23
CRWD,CrowdStrike,Information Technology,Texas,2011,2024-06-24
CCI,Crown Castle,Real Estate,Texas,1994,2012-03-14
CSX,CSX Corporation,Industrials,Florida,1980,1957-03-04
CMI,Cummins,Industrials,Indiana,1919,1965-03-31
CVS,CVS Health,Health Care,Rhode Island,1996,1957-03-04
DHR,Danaher Corporation,Health Care,D.C.,1969,1998-11-18
DRI,Darden Restaurants,Consumer Discretionary,Florida,1938,1995-05-31
DVA,DaVita,Health Care,Colorado,1979,2008-07-31
DAY,Dayforce,Industrials,Minnesota,1992,2021-09-20
DECK,Deckers Brands,Consumer Discretionary,California,1973,2024-03-18
DE,Deere & Company,Industrials,Illinois,1837,1957-03-04
DELL,Dell Technologies,Information Technology,Texas,2016,2024-09-23
DAL,Delta Air Lines,Industrials,Georgia,1929,2013-09-11
DVN,Devon Energy,Energy,Oklahoma,1971,2000-08-30
DXCM,Dexcom,Health Care,California,1999,2020-05-12
FANG,Diamondback Energy,Energy,Texas,2007,2018-12-03
DLR,Digital Realty,Real Estate,Texas,2004,2016-05-18
DFS,Discover Financial,Financials,Illinois,1985,2007-07-02
DG,Dollar General,Consumer Staples,Tennessee,1939,2012-12-03
DLTR,Dollar Tree,Consumer Staples,Virginia,1986,2011-12-19
D,Dominion Energy,Utilities,Virginia,1983,2016-11-30
DPZ,Domino's,Consumer Discretionary,Michigan,1960,2020-05-12
DASH,DoorDash,Consumer Discretionary,California,2012,2025-03-24
DOV,Dover Corporation,Industrials,Illinois,1955,1985-10-31
DOW,Dow Inc.,Materials,Michigan,2019,2019-04-01
DHI,D. R. Horton,Consumer Discretionary,Texas,1978,2005-06-22
DTE,DTE Energy,Utilities,Michigan,1995,1957-03-04
DUK,Duke Energy,Utilities,North Carolina,1904,1976-06-30
DD,DuPont,Materials,Delaware,2017,2019-06-03
EMN,Eastman Chemical Company,Materials,Tennessee,1920,1994-01-01
ETN,Eaton Corporation,Industrials,Ireland,1911,1957-03-04
EBAY,eBay Inc.,Consumer Discretionary,California,1995,2002-07-22
ECL,Ecolab,Materials,Minnesota,1923,1989-01-31
EIX,Edison International,Utilities,California,1886,1957-03-04
EW,Edwards Lifesciences,Health Care,California,1958,2011-04-01
EA,Electronic Arts,Communication Services,California,1982,2002-07-22
ELV,Elevance Health,Health Care,Indiana,2014,2002-07-25
EMR,Emerson Electric,Industrials,Missouri,1890,1965-03-31
ENPH,Enphase Energy,Information Technology,California,2006,2021-01-07
ETR,Entergy,Utilities,Louisiana,1913,1957-03-04
EOG,EOG Resources,Energy,Texas,1999,2000-11-02
EPAM,EPAM Systems,Information Technology,Pennsylvania,1993,2021-12-14
EQT,EQT Corporation,Energy,Pennsylvania,1888,2022-10-03
EFX,Equifax,Industrials,Georgia,1899,1997-06-19
EQIX,Equinix,Real Estate,California,1998,2015-03-20
EQR,Equity Residential,Real Estate,Illinois,1969,2001-12-03
ERIE,Erie Indemnity,Financials,Pennsylvania,1925,2024-09-23
ESS,Essex Property Trust,Real Estate,California,1971,2014-04-02
EL,Estée Lauder Companies (The),Consumer Staples,New York,1946,2006-01-05
EG,Everest Group,Financials,Bermuda,1973,2017-06-19
EVRG,Evergy,Utilities,Missouri,1909,2018-06-05
ES,Eversource Energy,Utilities,Connecticut,1966,2009-07-24
EXC,Exelon,Utilities,Illinois,2000,1957-03-04
EXE,Expand Energy,Energy,Oklahoma,1989,2025-03-24
EXPE,Expedia Group,Consumer Discretionary,Washington,1996,2007-10-02
EXPD,Expeditors International,Industrials,Washington,1979,2007-10-10
EXR,Extra Space Storage,Real Estate,Utah,1977,2016-01-19
XOM,ExxonMobil,Energy,Texas,1999,1957-03-04
FFIV,"F5, Inc.",Information Technology,Washington,1996,2010-12-20
FDS,FactSet,Financials,Connecticut,1978,2021-12-20
FICO,Fair Isaac,Information Technology,Montana,1956,2023-03-20
FAST,Fastenal,Industrials,Minnesota,1967,2008-09-15
FRT,Federal Realty Investment Trust,Real Estate,Maryland,1962,2016-02-01
FDX,FedEx,Industrials,Tennessee,1971,1980-12-31
FIS,Fidelity National Information Services,Financials,Florida,1968,2006-11-10
FITB,Fifth Third Bancorp,Financials,Ohio,1858,1996-03-29
FSLR,First Solar,Information Technology,Arizona,1999,2022-12-19
FE,FirstEnergy,Utilities,Ohio,1997,1997-11-28
FI,Fiserv,Financials,Wisconsin,1984,2001-04-02
F,Ford Motor Company,Consumer Discretionary,Michigan,1903,1957-03-04
FTNT,Fortinet,Information Technology,California,2000,2018-10-11
FTV,Fortive,Industrials,Washington,2016,2016-07-01
FOXA,Fox Corporation (Class A),Communication Services,New York,2019,2019-03-19
FOX,Fox Corporation (Class B),Communication Services,New York,2019,2019-03-19
BEN,Franklin Resources,Financials,California,1947,1998-04-30
FCX,Freeport-McMoRan,Materials,Arizona,1912,2011-07-01
GRMN,Garmin,Consumer Discretionary,Switzerland,1989,2012-12-12
IT,Gartner,Information Technology,Connecticut,1979,2017-04-05
